timestamp, latitude, longitude, accuracy, UUID ,
1.49479E+12,48.1566267,11.5672665,8,,903d185fccf839df
1.49479E+12,48.156618,11.5672581,16,,903d185fccf839df
1.49479E+12,48.1566076,11.5672577,12,,903d185fccf839df
1.49479E+12,48.156597,11.5672613,16,,903d185fccf839df
1.49479E+12,48.1565854,11.5672668,12,,903d185fccf839df
1.49479E+12,48.1565733,11.5672756,12,,903d185fccf839df
1.49479E+12,48.1565625,11.5672856,8,,903d185fccf839df
1.49479E+12,48.1565493,11.5673059,12,,903d185fccf839df
1.49479E+12,48.1565359,11.5673198,12,,903d185fccf839df
1.49479E+12,48.1565169,11.5673283,12,,903d185fccf839df
1.49479E+12,48.1564776,11.5673431,8,,903d185fccf839df
1.49479E+12,48.1564621,11.5673407,16,,903d185fccf839df
1.49479E+12,48.1564456,11.5673412,8,,903d185fccf839df
1.49479E+12,48.1564279,11.5673411,8,,903d185fccf839df
1.49479E+12,48.1564088,11.5673425,8,,903d185fccf839df
1.49479E+12,48.1563909,11.5673417,12,,903d185fccf839df
1.49479E+12,48.1563745,11.5673395,12,,903d185fccf839df
1.49479E+12,48.1563586,11.5673386,6,,903d185fccf839df
1.49479E+12,48.1563406,11.5673389,12,,903d185fccf839df
1.49479E+12,48.1563234,11.5673333,12,,903d185fccf839df
1.49479E+12,48.1563047,11.5673301,8,,903d185fccf839df
1.49479E+12,48.1562847,11.5673213,8,,903d185fccf839df
1.49479E+12,48.1562669,11.5673089,8,,903d185fccf839df
1.49479E+12,48.15623,11.5672806,8,,903d185fccf839df
1.49479E+12,48.1562166,11.5672751,6,,903d185fccf839df
1.49479E+12,48.156205,11.5672696,8,,903d185fccf839df
1.49479E+12,48.1561925,11.567268,8,,903d185fccf839df
1.49479E+12,48.1561812,11.5672637,8,,903d185fccf839df
1.49479E+12,48.1561682,11.5672638,8,,903d185fccf839df
1.49479E+12,48.1561575,11.567255,16,,903d185fccf839df
1.49479E+12,48.1561458,11.5672477,16,,903d185fccf839df
1.49479E+12,48.1561346,11.567244,12,,903d185fccf839df
1.49479E+12,48.1561248,11.5672403,12,,903d185fccf839df
1.49479E+12,48.1561111,11.5672356,8,,903d185fccf839df
1.49479E+12,48.1560957,11.567233,12,,903d185fccf839df
1.49479E+12,48.1560805,11.56723,12,,903d185fccf839df
1.49479E+12,48.1560661,11.5672279,12,,903d185fccf839df
1.49479E+12,48.1560519,11.5672258,8,,903d185fccf839df
1.49479E+12,48.1560345,11.5672175,16,,903d185fccf839df
1.49479E+12,48.1559989,11.5672045,16,,903d185fccf839df
1.49479E+12,48.1559572,11.5671994,12,,903d185fccf839df
1.49479E+12,48.1559428,11.5671969,12,,903d185fccf839df
1.49479E+12,48.155929,11.5671947,12,,903d185fccf839df
1.49479E+12,48.1559146,11.5671925,12,,903d185fccf839df
1.49479E+12,48.1558998,11.567192,8,,903d185fccf839df
1.49479E+12,48.1558875,11.5671877,12,,903d185fccf839df
1.49479E+12,48.1558771,11.5671802,8,,903d185fccf839df
