timestamp, accelerationX, accelerationY, accelerationZ, UUID 
1495452205455,0.5374982953071594,1.4760253429412842,5.773617267608643,,903d185fccf839df
1495452205480,-0.06224924325942993,1.5275006294250488,6.160281181335449,,903d185fccf839df
1495452205510,-0.6272808313369751,1.2437877655029297,7.371747016906738,,903d185fccf839df
1495452205535,-1.035492181777954,1.191115379333496,8.584410667419434,,903d185fccf839df
1495452205568,-0.7733271718025208,1.5167267322540283,9.123106002807617,,903d185fccf839df
1495452205608,-0.07661445438861847,1.5945383310317993,8.760383605957031,,903d185fccf839df
1495452205641,-0.48961424827575684,0.970848798751831,10.867281913757324,,903d185fccf839df
1495452205664,-0.4429273009300232,1.0606313943862915,10.674548149108887,,903d185fccf839df
1495452205695,-0.4752490520477295,0.9205705523490906,10.649409294128418,,903d185fccf839df
1495452205724,-2.404975652694702,-0.34835633635520935,13.136984825134277,,903d185fccf839df
1495452205755,-3.690661907196045,-1.382651448249817,14.633360862731934,,903d185fccf839df
1495452205784,-2.6862943172454834,-1.5765818357467651,14.255077362060547,,903d185fccf839df
1495452205816,1.1240776777267456,-1.3551181554794312,12.54681396484375,,903d185fccf839df
1495452205855,2.7521347999572754,-1.1791443824768066,11.63103199005127,,903d185fccf839df
1495452205874,1.6412252187728882,-0.8834604024887085,10.903194427490234,,903d185fccf839df
1495452205901,0.9852139949798584,-0.5147533416748047,9.181763648986816,,903d185fccf839df
1495452205964,0.7936778664588928,1.2725181579589844,4.098873138427734,,903d185fccf839df
1495452205991,0.3663128614425659,1.7525556087493896,4.2078094482421875,,903d185fccf839df
1495452206007,-0.023942016065120697,1.945288896560669,4.854243755340576,,903d185fccf839df
1495452206044,-0.6021417379379272,1.9979612827301025,6.540958881378174,,903d185fccf839df
1495452206065,-0.5482721924781799,1.9488801956176758,7.210138320922852,,903d185fccf839df
1495452206081,-0.27054479718208313,1.84233820438385,8.128314971923828,,903d185fccf839df
1495452206114,-0.31842881441116333,2.033874273300171,9.724050521850586,,903d185fccf839df
1495452206120,-0.6105214357376099,2.030282974243164,10.02452278137207,,903d185fccf839df
1495452206154,-1.4532804489135742,2.182314872741699,9.859322547912598,,903d185fccf839df
1495452206200,-0.9445125460624695,2.1727380752563477,10.870872497558594,,903d185fccf839df
1495452206243,-0.34835633635520935,1.5286977291107178,13.263877868652344,,903d185fccf839df
1495452206270,-0.456095427274704,-0.44771572947502136,16.9832706451416,,903d185fccf839df
1495452206284,-0.9002198576927185,-1.4544775485992432,17.967287063598633,,903d185fccf839df
1495452206315,-2.823961019515991,-1.459265947341919,16.256629943847656,,903d185fccf839df
1495452206345,-2.4588451385498047,-0.2645592987537384,10.517727851867676,,903d185fccf839df
1495452206365,-2.144007682800293,0.42616790533065796,7.826645374298096,,903d185fccf839df
1495452206383,-1.4844050407409668,1.159990668296814,5.698200225830078,,903d185fccf839df
1495452206403,-0.8415619134902954,1.2270283699035645,6.757634162902832,,903d185fccf839df
1495452206424,-0.8583213090896606,0.7110779285430908,9.222464561462402,,903d185fccf839df
1495452206465,-1.095347285270691,-0.28730419278144836,10.475829124450684,,903d185fccf839df
1495452206500,-0.9516952037811279,-0.26336219906806946,9.454702377319336,,903d185fccf839df
1495452206537,-0.3842693865299225,0.3794809579849243,7.518990516662598,,903d185fccf839df
1495452206566,-0.021547814831137657,0.9696516990661621,5.989095687866211,,903d185fccf839df
1495452206585,0.2753331959247589,1.535880446434021,4.5394062995910645,,903d185fccf839df
1495452206615,0.33997663855552673,1.8974047899246216,4.378994941711426,,903d185fccf839df
1495452206644,-0.1041477769613266,1.5454572439193726,6.347028732299805,,903d185fccf839df
1495452206660,-0.4189853072166443,1.4616601467132568,7.6351094245910645,,903d185fccf839df
1495452206690,-0.5805938839912415,1.3838485479354858,8.960299491882324,,903d185fccf839df
1495452206713,-0.010773907415568829,1.1982979774475098,9.470264434814453,,903d185fccf839df
1495452206760,0.09217676520347595,1.2042834758758545,9.758766174316406,,903d185fccf839df
1495452206800,-0.4644751250743866,0.9457096457481384,10.230423927307129,,903d185fccf839df
1495452206865,-2.75812029838562,-1.4700398445129395,16.14290428161621,,903d185fccf839df
1495452206885,-3.075352191925049,-1.9129672050476074,17.714698791503906,,903d185fccf839df
1495452206905,-2.410961151123047,-2.141613483428955,16.59421157836914,,903d185fccf839df
1495452206930,0.4812345504760742,-1.235408067703247,12.986149787902832,,903d185fccf839df
1495452206964,3.3446998596191406,-0.42856210470199585,11.798625946044922,,903d185fccf839df
1495452206985,3.004723072052002,-0.0035913025494664907,10.663774490356445,,903d185fccf839df
1495452207004,1.9057846069335938,0.33997663855552673,9.14345645904541,,903d185fccf839df
1495452207038,0.9289502501487732,0.6979097723960876,7.015010833740234,,903d185fccf839df
1495452207070,0.33039984107017517,1.0223240852355957,5.298368453979492,,903d185fccf839df
1495452207101,-0.2561795711517334,1.4616601467132568,4.906916618347168,,903d185fccf839df
1495452207135,-0.5171475410461426,1.9704279899597168,4.997896194458008,,903d185fccf839df
1495452207165,-0.3387795388698578,2.345120668411255,5.4240641593933105,,903d185fccf839df
1495452207192,-0.3256114423274994,2.2816741466522217,6.57806921005249,,903d185fccf839df
1495452207205,-0.33279404044151306,2.1715409755706787,7.241262912750244,,903d185fccf839df
1495452207238,-0.507570743560791,2.278082847595215,9.248801231384277,,903d185fccf839df
1495452207264,-0.4752490520477295,2.7257986068725586,10.2747163772583,,903d185fccf839df
1495452207281,-0.5111620426177979,3.0406360626220703,9.871294021606445,,903d185fccf839df
1495452207316,-0.9097966551780701,3.0107085704803467,9.965864181518555,,903d185fccf839df
1495452207352,-0.7864952683448792,2.8395233154296875,12.479776382446289,,903d185fccf839df
