UUID, meanHeading, class, timestamp 
903d185fccf839df,291.396258193735,undefined,1489864650070
903d185fccf839df,287.94628726785606,undefined,1489864650611
903d185fccf839df,283.1159192815063,undefined,1489864651075
903d185fccf839df,277.5977112700728,undefined,1489864651681
903d185fccf839df,274.256290805969,undefined,1489864652075
903d185fccf839df,272.6677543750327,undefined,1489864652599
903d185fccf839df,273.4005077558345,undefined,1489864653070
903d185fccf839df,274.57619487543485,undefined,1489864653608
903d185fccf839df,275.56909717906706,undefined,1489864654073
903d185fccf839df,277.5374694745034,undefined,1489864654609
903d185fccf839df,278.17851696835726,undefined,1489864655071
903d185fccf839df,278.03580111518085,undefined,1489864655598
903d185fccf839df,277.3084476633868,undefined,1489864656074
903d185fccf839df,275.4608546931267,undefined,1489864656612
903d185fccf839df,272.85298868909877,undefined,1489864657066
903d185fccf839df,269.14993341959524,undefined,1489864657611
903d185fccf839df,267.5852620881047,undefined,1489864658228
903d185fccf839df,267.4969938140161,undefined,1489864658674
903d185fccf839df,267.66424621773785,undefined,1489864659239
903d185fccf839df,268.1949788893249,undefined,1489864659655
903d185fccf839df,269.12624236530047,undefined,1489864660125
903d185fccf839df,269.215699451415,undefined,1489864660677
903d185fccf839df,269.0589637887627,undefined,1489864661118
903d185fccf839df,269.13298289354134,undefined,1489864661670
903d185fccf839df,270.09577956341826,undefined,1489864662134
903d185fccf839df,271.65127162584713,undefined,1489864662699
903d185fccf839df,272.6049920481809,undefined,1489864663149
903d185fccf839df,274.3366997287933,undefined,1489864663801
903d185fccf839df,276.5800753611072,undefined,1489864664109
903d185fccf839df,278.9836221659376,undefined,1489864664630
903d185fccf839df,279.97912759492397,undefined,1489864665137
903d185fccf839df,280.32247912706316,undefined,1489864665642
903d185fccf839df,280.256476740725,undefined,1489864666140
903d185fccf839df,279.89625847713137,undefined,1489864666663
903d185fccf839df,279.3079978956108,undefined,1489864667093
903d185fccf839df,278.20755278909576,undefined,1489864667635
903d185fccf839df,278.62399857834436,undefined,1489864668121
903d185fccf839df,278.8910578177864,undefined,1489864668646
903d185fccf839df,279.31735040269217,undefined,1489864669097
903d185fccf839df,277.9586483101413,undefined,1489864669665
903d185fccf839df,277.18811272942446,undefined,1489864670096
903d185fccf839df,275.27741913945675,undefined,1489864670611
903d185fccf839df,273.00711746976793,undefined,1489864671108
903d185fccf839df,271.67521990419215,undefined,1489864671632
903d185fccf839df,271.5854429372274,undefined,1489864672125
903d185fccf839df,271.74163826026256,undefined,1489864672730
903d185fccf839df,271.80787197010847,undefined,1489864673098
903d185fccf839df,271.6927818465063,undefined,1489864673637
903d185fccf839df,271.64795524992394,undefined,1489864674118
903d185fccf839df,271.491000168258,undefined,1489864674647
903d185fccf839df,271.4023624252752,undefined,1489864675094
903d185fccf839df,271.6542197233268,undefined,1489864675677
903d185fccf839df,271.78549505029815,undefined,1489864676099
903d185fccf839df,272.1574236507822,undefined,1489864676646
903d185fccf839df,271.88770813991573,undefined,1489864677125
903d185fccf839df,271.36471878481564,undefined,1489864677634
903d185fccf839df,271.57330885800025,undefined,1489864678095
903d185fccf839df,271.8705473970358,undefined,1489864678664
903d185fccf839df,272.1426623454687,undefined,1489864679088
903d185fccf839df,272.54414126157843,undefined,1489864679630
903d185fccf839df,272.56417221395503,undefined,1489864680192
903d185fccf839df,272.3747387756742,undefined,1489864680624
903d185fccf839df,272.17421746330854,undefined,1489864681120
903d185fccf839df,272.27736010503725,undefined,1489864681652
903d185fccf839df,272.74011209856315,undefined,1489864682122
903d185fccf839df,273.15914817598656,undefined,1489864682640
903d185fccf839df,273.69593368203493,undefined,1489864683096
903d185fccf839df,274.57993838530854,undefined,1489864683641
903d185fccf839df,275.27526199939496,undefined,1489864684127
903d185fccf839df,276.6454014759166,undefined,1489864684742
903d185fccf839df,277.67249265135666,undefined,1489864685091
903d185fccf839df,278.5686208210741,undefined,1489864685625
903d185fccf839df,279.6591523824651,undefined,1489864686136
903d185fccf839df,280.4791231983666,undefined,1489864686640
903d185fccf839df,281.10613648606494,undefined,1489864687095
903d185fccf839df,281.9731730514761,undefined,1489864687682
903d185fccf839df,282.44868501819315,undefined,1489864688085
903d185fccf839df,283.1545885284123,undefined,1489864688641
903d185fccf839df,282.9064414101797,undefined,1489864689102
903d185fccf839df,282.66961442986127,undefined,1489864689660
903d185fccf839df,282.4172891516814,undefined,1489864690375
903d185fccf839df,282.1316658137654,undefined,1489864690643
903d185fccf839df,281.30770485069957,undefined,1489864691068
903d185fccf839df,279.5970701207963,undefined,1489864691602
903d185fccf839df,277.4805500861344,undefined,1489864692071
903d185fccf839df,276.55308622203853,undefined,1489864692662
903d185fccf839df,276.45482803577016,undefined,1489864693300
903d185fccf839df,276.17922945263444,undefined,1489864693621
903d185fccf839df,275.83126033880694,undefined,1489864694090
903d185fccf839df,275.3463039143178,undefined,1489864694607
903d185fccf839df,273.9726459618851,undefined,1489864695075
903d185fccf839df,273.11829428886466,undefined,1489864695608
903d185fccf839df,272.05767069782576,undefined,1489864696071
